device,vlan name,switch:port number,tag
 IO038SW1-IC4,Video1,1:47,untagged
 IO038SW1-IC4,Video1,1:48,untagged
 IO038SW1-IC4,Video1,2:7,untagged
 IO038SW1-IC4,Video1,3:28,untagged
 IO038SW1-IC4,Video1,3:30,untagged
 IO038SW1-IC4,Video1,3:32,untagged
 IO038SW1-IC4,Video1,4:29,untagged
 IO038SW1-IC4,Video1,4:31,untagged
 IO038SW1-IC4,Video1,4:32,untagged
 IO038SW1-IC4,Video1,4:33,untagged
 IO038SW1-IC4,Video1,4:35,untagged
 IO038SW1-IC4,Video1,4:37,untagged
 IO038SW1-IC4,Video1,4:39,untagged
 IO038SW1-IC4,Video1,4:45,untagged
 IO038SW1-IC4,Video1,4:46,untagged
 IO038SW1-IC4,Video1,4:47,untagged
 IO038SW1-IC4,Video1,4:48,untagged
