device,vlan name,switch number,port number,tag
IO038SW1-IC1, Video1,1:42,untagged
IO038SW1-IC1, Video1,1:43,untagged
IO038SW1-IC1, Video1,1:44,untagged
IO038SW1-IC1, Video1,1:45,untagged
IO038SW1-IC1, Voice2,1:2,tagged
IO038SW1-IC1, Voice2,1:3,tagged
IO038SW1-IC1, Voice2,1:4,tagged
IO038SW1-IC1, Voice2,1:5,tagged
IO038SW1-IC1, Voice2,1:6,tagged
IO038SW1-IC1, Voice2,1:7,tagged
IO038SW1-IC1, Voice2,1:8,tagged
IO038SW1-IC1, Voice2,1:9,tagged
IO038SW1-IC1, Voice2,1:10,tagged
IO038SW1-IC1, Voice2,1:11,tagged
IO038SW1-IC1, Voice2,1:12,tagged
IO038SW1-IC1, Voice2,1:13,tagged
IO038SW1-IC1, Voice2,1:14,tagged
IO038SW1-IC1, Voice2,1:15,tagged
IO038SW1-IC1, Voice2,1:16,tagged
IO038SW1-IC1, Voice2,1:17,tagged
IO038SW1-IC1, Voice2,1:18,tagged
IO038SW1-IC1, Voice2,1:19,tagged
IO038SW1-IC1, Voice2,1:20,tagged
IO038SW1-IC1, Voice2,1:21,tagged
IO038SW1-IC1, Voice2,1:22,tagged
IO038SW1-IC1, Voice2,1:23,tagged
IO038SW1-IC1, Voice2,1:24,tagged
IO038SW1-IC1, Voice2,1:25,tagged
IO038SW1-IC1, Voice2,1:26,tagged
IO038SW1-IC1, Voice2,1:27,tagged
IO038SW1-IC1, Voice2,1:28,tagged
IO038SW1-IC1, Voice2,1:29,tagged
IO038SW1-IC1, Voice2,1:30,tagged
IO038SW1-IC1, Voice2,1:33,tagged
IO038SW1-IC1, Voice2,1:35,tagged
IO038SW1-IC1, Voice2,1:41,tagged
IO038SW1-IC1, Voice2,1:48,tagged
IO038SW1-IC1, Voice2,1:54,tagged
IO038SW1-IC1, Voice2,2:4,tagged
IO038SW1-IC1, Voice2,2:6,tagged
IO038SW1-IC1, Voice2,2:8,tagged
IO038SW1-IC1, Voice2,2:10,tagged
IO038SW1-IC1, Voice2,2:11,tagged
IO038SW1-IC1, Voice2,2:12,tagged
IO038SW1-IC1, Voice2,2:13,tagged
IO038SW1-IC1, Voice2,2:14,tagged
IO038SW1-IC1, Voice2,2:15,tagged
IO038SW1-IC1, Voice2,2:16,tagged
IO038SW1-IC1, Voice2,2:17,tagged
IO038SW1-IC1, Voice2,2:18,tagged
IO038SW1-IC1, Voice2,2:19,tagged
IO038SW1-IC1, Voice2,2:20,tagged
IO038SW1-IC1, Voice2,2:21,tagged
IO038SW1-IC1, Voice2,2:22,tagged
IO038SW1-IC1, Voice2,2:23,tagged
IO038SW1-IC1, Voice2,2:24,tagged
IO038SW1-IC1, Voice2,2:25,tagged
IO038SW1-IC1, Voice2,2:26,tagged
IO038SW1-IC1, Voice2,2:27,tagged
IO038SW1-IC1, Voice2,2:28,tagged
IO038SW1-IC1, Voice2,2:29,tagged
IO038SW1-IC1, Voice2,2:30,tagged
IO038SW1-IC1, Voice2,2:31,tagged
IO038SW1-IC1, Voice2,2:32,tagged
IO038SW1-IC1, Voice2,2:33,tagged
IO038SW1-IC1, Voice2,2:34,tagged
IO038SW1-IC1, Voice2,2:35,tagged
IO038SW1-IC1, Voice2,2:36,tagged
IO038SW1-IC1, Voice2,2:37,tagged
IO038SW1-IC1, Voice2,2:38,tagged
IO038SW1-IC1, Voice2,2:39,tagged
IO038SW1-IC1, Voice2,2:40,tagged
IO038SW1-IC1, Voice2,2:41,tagged
IO038SW1-IC1, Voice2,2:42,tagged
IO038SW1-IC1, Voice2,2:43,tagged
IO038SW1-IC1, Voice2,2:44,tagged
IO038SW1-IC1, Voice2,2:45,tagged
IO038SW1-IC1, Voice2,2:46,tagged
IO038SW1-IC1, Voice2,2:47,tagged
